|      x |  Curve1 |
| -1.000 | -12.781 |
| -0.783 | -13.889 |
| -0.589 | -13.966 |
| -0.262 | -14.049 |
|  0.204 | -15.664 |
|  0.498 | -17.238 |
|  0.874 | -21.569 |
|  0.968 | -26.111 |
|  0.992 | -26.432 |
|  0.998 | -26.216 |
|  1.000 | -26.803 |
